start_time,end_time,title,description,branch,entity,source_url,source_text,access_datetime,parser_name,person_version
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 676 H CON RES 172 - On Agreeing to the Resolution Adjournment Resolution (Passed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=676 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.con.res.172:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","676:30-Jul::H CON RES 172::On Agreeing to the Resolution:P:Adjournment Resolution","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 675 H R 3326 - On Passage Making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes (Passed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=675 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","675:30-Jul::H R 3326::On Passage:P:Making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 674 H R 3326 - On Motion to Recommit with Instructions Making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=674 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","674:30-Jul::H R 3326::On Motion to Recommit with Instructions:F:Making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 673 H R 3326 - On Agreeing to the Amendment Campbell of California Part C Amendment No. 8 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=673 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","673:30-Jul::H R 3326::On Agreeing to the Amendment:F:Campbell of California Part C Amendment No. 8","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 672 H R 3326 - On Agreeing to the Amendment Campbell of California Part C Amendment No. 1 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=672 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","672:30-Jul::H R 3326::On Agreeing to the Amendment:F:Campbell of California Part C Amendment No. 1","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 671 H R 3326 - On Agreeing to the Amendments Flake of Arizona Part B Amendments En Bloc (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=671 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","671:30-Jul::H R 3326::On Agreeing to the Amendments:F:Flake of Arizona Part B Amendments En Bloc","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 670 H R 3326 - On Agreeing to the Amendment Flake of Arizona Part B Amendment No. 553 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=670 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","670:30-Jul::H R 3326::On Agreeing to the Amendment:F:Flake of Arizona Part B Amendment No. 553","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 669 H R 3326 - On Agreeing to the Amendment Flake of Arizona Part B Amendment No. 449 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=669 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","669:30-Jul::H R 3326::On Agreeing to the Amendment:F:Flake of Arizona Part B Amendment No. 449","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 668 H R 3326 - On Agreeing to the Amendment Flake of Arizona Part B Amendment No. 439 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=668 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","668:30-Jul::H R 3326::On Agreeing to the Amendment:F:Flake of Arizona Part B Amendment No. 439","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 667 H R 3326 - On Agreeing to the Amendment Flake of Arizona Part B Amendment No. 432 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=667 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","667:30-Jul::H R 3326::On Agreeing to the Amendment:F:Flake of Arizona Part B Amendment No. 432","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 666 H R 3326 - On Agreeing to the Amendment Flake of Arizona Part B Amendment No. 389 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=666 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","666:30-Jul::H R 3326::On Agreeing to the Amendment:F:Flake of Arizona Part B Amendment No. 389","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 665 H R 3326 - On Agreeing to the Amendment Flake of Arizona Part B Amendment No. 258 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=665 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","665:30-Jul::H R 3326::On Agreeing to the Amendment:F:Flake of Arizona Part B Amendment No. 258","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 664 H R 3326 - On Agreeing to the Amendment Flake of Arizona Part B Amendment No. 1 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=664 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","664:30-Jul::H R 3326::On Agreeing to the Amendment:F:Flake of Arizona Part B Amendment No. 1","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 663 H R 3326 - On Agreeing to the Amendment Tierney of Massachusetts Part A Amendment No. 5 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=663 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","663:30-Jul::H R 3326::On Agreeing to the Amendment:F:Tierney of Massachusetts Part A Amendment No. 5","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 662 H R 3326 - On Agreeing to the Amendment Flake of Arizona Part A Amendment No. 3 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=662 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","662:30-Jul::H R 3326::On Agreeing to the Amendment:F:Flake of Arizona Part A Amendment No. 3","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 661 H R 3326 - On Agreeing to the Amendment Murtha of Pennsylvania Part A Amendment No. 1 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=661 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3326:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","661:30-Jul::H R 3326::On Agreeing to the Amendment:A:Murtha of Pennsylvania Part A Amendment No. 1","","House Roll Call Votes Scraper","0.1"
